linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
56,51.064440504743,10.614364794807,Njemačka,,Alfa Romeo,Giulia,27.999 €,2020. godište,Diesel,100 kW,limuzina,4,34954 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-super-svojim-kamionima-uvozimo-registracije-oglas-42288450
57,51.064440504743,10.614364794807,Njemačka,,Alfa Romeo,Giulietta,18.480 €,2020. godište,Benzin,88 kW,hatchback,5,25881 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.4-t-jet-svojim-kamionima-uvozimo-reg-oglas-42288414
58,45.89683,16.841549,Bjelovarsko-bilogorska,Bjelovar,Alfa Romeo,Giulietta,11.500 €,2015. godište,Benzin,77 kW,hatchback,5,157000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.4-tb-16v-oglas-42001880
60,45.811449246287,16.107295282367,Grad Zagreb,Sesvete,Alfa Romeo,Stelvio,30.500 €,2018. godište,Diesel,132 kW,terensko vozilo / SUV / pick up,5,146997 km,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-diesel-oglas-39166932
61,45.33852,14.400802,Primorsko-goranska,Rijeka,Alfa Romeo,Giulietta,10.500 €,2013. godište,Diesel,103 kW,limuzina,5,191000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-2.0-oglas-41629382
62,45.830723700533,16.094344701508,Grad Zagreb,Sesvete,Alfa Romeo,Tonale,43.999 €,2022. godište,Benzin,96 kW,terensko vozilo / SUV / pick up,5,10900 km,https://www.njuskalo.hr/auti/alfa-romeo-tonale-1.5-mhev-automatik-edizione-speciale-oglas-39238952
63,45.587471247224,16.92974007961,Bjelovarsko-bilogorska,Garešnica,Alfa Romeo,Giulia,19.900 €,2016. godište,Diesel,132 kW,limuzina,4,130000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-180-ks-at8-top-stanje-oglas-42287462
64,45.823646453719,16.063471773792,Grad Zagreb,Donja Dubrava,Alfa Romeo,Giulietta,14.999 €,2018. godište,Diesel,88 kW,hatchback,5,122900 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.6-mjtd-tct-dna-super-sportiva-hr-auto-oglas-41813696
65,45.54278,18.750555,Osječko-baranjska,Osijek,Alfa Romeo,MiTo,6.600 €,2014. godište,Diesel,62 kW,hatchback,3,183300 km,https://www.njuskalo.hr/auti/alfa-romeo-mito-1.3-oglas-40929379
66,45.386735917155,14.410847091135,Primorsko-goranska,Viškovo,Alfa Romeo,Giulietta,10.700 €,2014. godište,Diesel,110 kW,hatchback,5,125843 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-2.0-distinctive-oglas-42285626
67,45.561275510483,15.520949687037,Karlovačka,Karlovac - Okolica,Alfa Romeo,MiTo,4.400 €,2009. godište,Diesel,66 kW,hatchback,3,185000 km,https://www.njuskalo.hr/auti/alfa-romeo-mito-1.3-jtdm-oglas-42284844
68,45.168009064186,14.083273085524,Istarska,Sveta Nedelja,Alfa Romeo,MiTo,4.700 €,2010. godište,Diesel,88 kW,hatchback,3,172700 km,https://www.njuskalo.hr/auti/alfa-romeo-mito-1.6-jtdm-oglas-42284451
69,43.511488243152,16.536933433611,Splitsko-dalmatinska,Split,Alfa Romeo,Giulietta,8.500 €,2013. godište,Diesel,77 kW,limuzina,5,172000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.6-jtd-veloce-oglas-42272460
71,43.519655474158,16.46695145262,Splitsko-dalmatinska,Split,Alfa Romeo,MiTo,4.300 €,2009. godište,Diesel,88 kW,limuzina,3,180000 km,https://www.njuskalo.hr/auti/alfa-romeo-mito-1.6-jtdm-oglas-41983893
72,45.32781470652787,16.98813928903065,Sisačko-moslavačka,Novska,Alfa Romeo,Giulia,17.990 €,2016. godište,Diesel,110 kW,limuzina,4,116000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtd-super-116tkm-alu-18-koza-navi-oglas-42212358
73,45.817493,16.100914,Grad Zagreb,Sesvete,Alfa Romeo,Giulia,19.500 €,2017. godište,Diesel,100 kW,limuzina,4,102000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtd-automatik-102000km-navigacija-jamstvo-2-god-oglas-42150480
74,45.33898569668824,18.98533174225952,Vukovarsko-srijemska,Vukovar,Alfa Romeo,159,4.100 €,2009. godište,Diesel,90 kW,limuzina,5,232700 km,https://www.njuskalo.hr/auti/alfa-romeo-159-1.9-jtdm-oglas-41280520
75,45.178974,18.002375,Brodsko-posavska,Slavonski Brod,Alfa Romeo,159 SW,7.900 €,2008. godište,Benzin,191 kW,karavan,5,136600 km,https://www.njuskalo.hr/auti/alfa-romeo-159-sw-3.2-v6-1-vlasnik-nije-uvoz-full-oprema-oglas-42147791
